id,alpha,beta,mu_c,characteristic_time,emotion_bias,racial_bias,distractor_bias,emotion_amplification_bias,tau,X^2,bic
20.0,0.1205740308870554,0.5593267785840397,0.11585669713421543,0.4991140761124792,0.20899224216667978,0.0236972377305803,0.23884830969778192,-0.35407910178891283,0.43970009826011364,803.9154861126091,9049.056585189432
21.0,0.11535263799165164,0.4604010582357684,0.2534174427640234,0.5898489701185352,-0.3303587998918213,0.09835379411855014,0.16190168626645757,0.09716813779654129,0.4425004624960493,652.0969154571741,8259.618552315025
22.0,0.14632188798717766,0.40162732686268193,0.20967290230393162,0.07363671955881651,0.32749174725481356,0.20456581765254211,-0.018040312307684804,0.09148146755592232,0.44937739986311676,853.5446149842487,8595.699157528239
23.0,0.14937732060820721,0.4365471681299869,0.21404990088077305,0.057646680184007204,0.2288193040866377,0.23021927933245087,-0.09629282603527352,0.19179542694921156,0.41072594421478764,1102.9536145512948,8704.302434509407
26.0,0.08787724633727678,0.524686397555609,0.2458468700205078,0.4851304475812015,0.007712225987360246,0.35598027236392127,0.01864993576401131,-0.03656785814890586,0.44973412465301693,895.7313071353987,8745.65641075936
27.0,0.14232627866178899,0.4227932611772361,0.361928208533409,0.7524224465897815,0.23481341938004804,-0.11015111970264699,0.35249303821976596,-0.317220174381107,0.3450452454309135,846.2534848544611,8457.840059350914
28.0,0.16116195406832567,0.5124559423758652,0.1944399880632702,0.01863091309752829,-0.04615710968912632,-0.09607622856800517,0.033774889898279585,0.040280788815054897,0.4330189044794382,676.1921532879816,8092.3603998900235
29.0,0.16083894501443752,0.3135077242925133,0.1347581108895708,0.39959949884271084,0.2823879456136452,-0.020436036016141388,0.31341319830311176,-0.3508358935225782,0.4397325953168375,881.8197260817551,8496.019118811471
30.0,0.13101669479649133,0.5666666976026586,0.16877942615539654,0.5341590133042446,0.23858118905840525,0.13852291858420157,0.2369020449377967,-0.3517624985067841,0.44865816733429864,728.0029084691397,8424.743173386672
31.0,0.10501431202934244,0.4067449024509524,0.2541617261510546,0.3258004257526258,0.18703653193813952,0.0317906000383402,0.13875235694726737,-0.2968103371802787,0.44402603047665506,579.8523800017277,8101.945946100027
32.0,0.17645557055905353,0.33182748730823436,0.1559748961564718,0.08607736492087004,0.38,-0.06135336691842375,-0.07673427195291599,-0.1218820343523572,0.44447297310084155,1123.134608626639,9049.76700515995
33.0,0.16815671618436806,0.455229899929312,0.11578525882941537,0.07165171413398558,0.1452232611688441,-0.0027613442486610017,-0.350009311093962,0.20614795319204532,0.4490621009515968,1134.9017696375581,9316.454319380877
34.0,0.12491554613755568,0.5120777143316666,0.1579063589510466,0.44704292089036046,0.2453070272337792,-0.09211033147591541,0.13488742784805213,-0.23301075706905566,0.439613376553166,619.8019677118084,8565.163465530764
35.0,0.2828928722021182,0.5587539889025558,0.4287830627121632,0.06895006308325774,0.09455756707815494,-0.3206171806249468,-0.2152750482850687,-0.30420443669033803,0.445123807631452,964.0341196981169,8280.934901286251
36.0,0.0882220964487674,0.37599597416673436,0.21932384976811586,0.8383712152159251,-0.0922170800840699,-0.013512273008208524,0.1340691220771213,-0.0692031697811615,0.4165255552834337,829.7271185564867,9023.718324187792
37.0,0.2023245580365687,0.3252101806101223,0.12064515016840605,0.7454417332852521,0.15862750249253982,-0.3732149460515338,0.19892727618191078,-0.16796490731283276,0.4481639802124633,986.6790359675135,9040.65884055572
38.0,0.22769968758598502,0.2989019965086005,0.3423404345893222,0.68531073231919,-0.1326659475206973,-0.19412439752360927,0.16001341029866467,-0.23917092795692332,0.4181035905913514,755.2820333831331,8102.448805061329
39.0,0.15454401334571238,0.44490820776917694,0.16550916090003728,0.03226017283745908,-0.19518079716117698,-0.11428233554499846,0.25328091471375713,-0.03048652968726841,0.44107313495224576,876.6562838389837,8559.15992615072
40.0,0.14652160503180098,0.38258039729504717,0.25164969031393747,0.6268826330844244,-0.17987200133078216,0.11462223268965233,-0.19335533014998652,0.04318983732424779,0.44889895611229363,868.1528526120168,8646.511856543359
41.0,0.14888343221655165,0.6333345038436046,0.18015514654838427,0.699472813091651,0.35420461557361127,-0.1257515757473055,0.14504695803998285,-0.2643211302308456,0.4487798350879155,739.0250967249069,8250.9584670799
42.0,0.17503199311703732,0.33528909829593523,0.3632591431129609,0.6971362064733022,0.03304738374421759,0.011174169448872503,0.37498186804492506,-0.27234098867829004,0.4194862578998033,735.0816112117637,8083.081957517438
43.0,0.1241838885198839,0.5135028154474278,0.1842557141171892,0.5576181126965591,0.35454750800445534,-0.28053810935882817,0.24035172993281956,-0.37973995320498033,0.444459582853213,742.5834977839264,8514.05602387721
