id,alpha,beta,characteristic_time,emotion_bias,racial_bias,distractor_bias,emotion_amplification_bias,eta,eta_r,tau,X^2,bic
21.0,0.29144376198505656,0.5314770500126474,0.3917468918781716,0.14136337317192854,-0.18338668710115028,0.27543725334571073,-0.3609929274158479,0.3547913157074025,-1.1847999846773023,0.44608406203538,668.3726350674792,8281.415732843188
22.0,0.2873724555943973,0.44116783852312225,0.14863759741903887,0.00770393567489101,0.14692705934313327,-0.15816919568946913,0.12254681334569778,0.1861783425763366,-2.09675464546089,0.4491658398122922,573.1978910065388,8320.873894468394
23.0,0.34869392498212526,0.5243442415345809,0.5290640917174363,-0.021545794531769982,0.15916063075110037,-0.07866931389626987,0.24284830617640027,0.22569258399716113,-1.8799074470019321,0.4207215061476891,852.4102670955668,8459.28054797154
26.0,0.27368669699879367,0.48128427722317313,0.38736283218000445,0.14553699168393286,0.27654969830934945,0.27924441054626903,-0.37401281759091154,0.2948623067724871,-4.170391628799921,0.4106002676116657,528.2031468437464,8383.649711385568
27.0,0.19213878191048533,0.33265653967425046,0.5597504775304007,0.10676754323802591,-0.29989487921910074,0.1922618244300922,-0.13036696397705722,0.1329362195352683,-2.7058129660058112,0.42743839629994185,728.0383293552817,8345.146364769596
28.0,0.35911696157867096,0.41662227587993333,0.6694068719928488,-0.2634582238764521,0.16155593073452515,0.04749238983384433,0.02542780900157227,0.328095299708983,-0.23793295001193537,0.43178961319308895,527.8315904438728,7949.521297963779
29.0,0.32155598127152785,0.4147394003190827,0.11845648397553553,0.03668918373083635,-0.02573786116122056,-0.3397733906115629,0.17702509898975632,0.18217180737560656,-0.9359559040855407,0.38973744547396494,789.2020030347476,8408.922856682328
30.0,0.2538236869146895,0.5302164613900249,0.9975735509811113,-0.038988663763756246,-0.004260836993449016,0.3675269995225955,-0.16488761337569005,0.11720036715607784,-3.424048657462353,0.4383881645239295,631.2594359352709,8333.521161770668
31.0,0.18928226833663642,0.38793179015088397,0.9621963926359594,-0.30499602383939534,0.0317821000479354,-0.07743745789261941,0.369993845525683,0.26986044478169235,-0.13889309234275682,0.4440967645406839,522.2285884191111,8049.843615435269
32.0,0.37407624553548985,0.3698989545310739,0.2946788194533949,-0.12782756744885715,0.10946003457630876,-0.3661208868305126,0.34038866163705805,0.1556113721902872,-1.7769749003723205,0.4433234794849855,884.3809233716858,8816.53478082286
33.0,0.3795874982870645,0.37239969855203836,0.2556671406774764,-0.08987609709631653,-0.0014368178545654353,-0.3790750506150344,0.36969664415705694,0.30510539130790004,-0.6536896695385569,0.44734718820360775,927.9376550851799,9115.011665746357
